"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.DT.DOD.DSTC.IR.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491222",1991,1005.299987793,19153100,70.26,63.426,5389,41.8839988708496,82.9390029907227,6.37200021743774,90.1042251586914,18.1437510020172,1.75941817375769,15068681,55153519,74.69,25.31,8515770,6.78880668811996,38382112,113265899,36.3694311823186,10.8458187527508,8.67697309491424,1.51193723815426,31.5126231629234,280.163989794789,18.5422817901337,1.103e+09,61473096,34.6940666435777,66.742,2.822,6.0286e+11,151648011,3975.39008935633,-0.258462199951268,5.8935e+11,2055041396.50465,19821126,36682063
"507067",1992,1143.3000488281,16388500,70.7,63.784,5439,43.1969985961914,82.484001159668,6.42000007629395,88.803833,18.4561852278138,1.70733529878176,15288036,56420965,75.444,24.556,8515770,6.77995215917154,37879933,116379447,36.5753868581606,12.2770837516165,10.8682492540862,-0.466913211737747,33.9875979548139,101.425079393798,20.0777647486859,2.061e+09,63397868,34.2481001803586,67.141,2.754,400599250000,154259380,2596.91987612034,-2.15185202915798,393042375000,2178503467.38274,20564117,44057994
"522912",1993,1284.3000488281,16535600,71.141,64.137,6198,44.5139999389648,82.0090026855469,6.03000020980835,89.999927,18.7660266518627,1.66485850824113,15493544,57670483,76.181,23.819,8515770,6.56356958504316,37359882,119489196,36.7681364374995,12.4627925806091,10.5032702366843,4.66516899045995,36.12568024738,97.1315789066135,20.1852652935166,1.292e+09,65352451,33.7923178611225,67.539,2.693,437798577639.752,156849078,2791.20912422419,2.93706715995854,427140503105.59,2401440628.72763,18293707,43073467
"538757",1994,1468.5,17898600,71.583,64.483,2223,45.8330001831055,81.5189971923828,6.22900009155273,91.5264511108398,19.0751430342157,1.63379335720083,15702105,58954750,76.903,23.097,8515770,8.53641105265961,36824174,122608542,36.9778245513926,11.9937742990919,9.66505138718782,5.3345517016817,34.6669431980292,82.9033448848798,19.6635342670004,3.072e+09,67376427,33.2952911621978,67.932,2.639,558111997497.263,159432716,3500.61148991066,3.62758491771604,537119760675.739,2651286257.79726,20063935,45845332
"554602",1995,1581.9000244141,20196100,72.019,64.819,2050,47.1529998779297,81.0179977416992,6.4210000038147,91.728598,19.3846831950649,1.60971525422645,15913473,60273091,77.61,22.39,8515770,5.01166646465693,36276255,125743641,37.2010428892017,6.83504397105815,7.52887503847073,4.41673135543735,23.3814603902749,60.2376234122235,14.3484424967827,4.859e+09,69484734,32.751250500741,68.318,2.588,769305386182.849,162019896,4748.21552893015,2.74937514982565,757859058515.855,2974532211.8271,19752837,49641823
"570447",1996,1644.8000488281,22011500,72.446,65.145,2212,46.1529998779297,79.2949981689453,7.25299978256226,92.867095,19.6951340848562,1.58883762636286,16127983,61628446,78.302,21.698,8515770,4.76841121077967,35718095,128896593,37.4379994572538,5.241331324617,6.73020968312685,2.20753552677458,22.340114560034,59.717638722465,12.6849193754362,1.2552e+10,69626959,32.2262342713914,68.695,2.536,850426432991.742,164614688,5166.16374470632,0.596456353058386,827516902795.742,3439107040.77386,17519708,42436960
"586292",1997,1789.9000244141,24307000,72.859,65.466,2260,47.0390014648438,79.7539978027344,8.15799999237061,93.354139,20.005532331356,1.56372474049748,16344782,63016243,79.048,20.952,8515770,4.68504702949228,35033638,132175402,37.6871029221865,4.58052532125243,6.98364957530895,3.39484598484417,22.5941476157036,66.7497047031133,12.1697537346942,1.965e+10,72072769,31.6665193460832,69.061,2.483,883199625324.675,167209040,5282.00882754111,1.7906107983347,855019274582.56,3802830671.8899,17794686,44874820
"602137",1998,1642.8000488281,28091100,73.256,65.783,2345,47.9179992675781,79.2720031738281,9.42300033569336,94.193812,20.3137599992343,1.52896370271808,16564802,64443291,79.781,20.219,8515770,4.7500447835131,34328880,135456370,37.9557652976333,4.41293124603531,7.03050033871807,0.338097902952455,22.1187903791379,67.1666261980263,11.5321887727772,3.1913e+10,74043475,31.0861314513481,69.419,2.426,863723411632.917,169785250,5087.152221014,-1.18436657024863,825536162860.836,4115749033.45673,15788868,40742023
"617982",1999,1462.9000244141,28205300,73.636,66.1,2374,49.181999206543,79.1529998779297,10.2080001831055,94.76296,20.6168687052382,1.48111209937399,16787782,65908874,80.496,19.504,8515770,4.64598154008681,33609034,138709641,38.2482479046453,1.68894856026828,9.5648982609794,0.467937567378257,21.746711247782,80.430831373671,10.5951524005029,2.8384e+10,76474668,30.5067306256852,69.769,2.365,599388579985.673,172318675,3478.37272997644,-1.00913962539633,568078572215.793,4408996130.35351,17435114,47631962
"633827",2000,1727.901,31287784,74.003,66.421,2718,50.1940002441406,78.5879974365234,9.89500045776367,94.4127731323242,20.9125882074241,1.42416743408748,17014078,67416308,81.192,18.808,8515770,4.75045997570861,32874567,141915773,38.5698134118853,4.16008748853083,10.1880480043795,4.38794944267383,23.0066186321239,93.8146100896796,13.9917128958725,32994718699.75,78492808,29.9381653471239,70.116,2.3,655420645476.906,174790340,3749.75324996168,2.91182644263147,636545739163.706,4756046853.80353,17601718,46527202
