"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491269",1991,4108.7001953125,24829500,78.7,72.1,821500,47.9550018310547,72.4039993286133,5.31699991226196,100,229.18080944061,0.728605546561364,3439841,7284512,73.269,26.731,356970,1.10152604363728,21388515,58625381,9.10405862501683,11.6025805877923,23.6649009963425,5.10826150765951,33.5241518476479,23.7169417642337,4741534933.54524,40048665,16.064970257263,75.319512195122,1.33,1868945197407.19,80013896,23357.757725073,4.3452200412476,1875827876959.34,8713482719.21952,6559828,39267858
"507114",1992,4287.5,27577800,79.2,72.6,1236000,47.7970008850098,71.245002746582,6.32299995422363,100,230.930020336264,0.760346946721127,3455876,7336044,73.36,26.64,356970,1.00542871579145,21478393,59146205,9.09901467043594,11.2686980769226,22.1946934890662,1.92807343038962,32.5158925067271,23.5098169420855,-2137728434.41913,39895296,16.1450837628864,75.819512195122,1.29,2131571696931.75,80624598,26438.2303888417,1.15600535384446,2137944337633.06,8804358041.10601,6514452,34758462
"522959",1993,4639.8999023438,29362600,79.2,72.7,1418000,47.3139991760254,70.3239974975586,7.67500019073486,100,232.459793194317,0.657391218087626,3470553,7384058,73.497,26.503,356990,0.96156811678632,21508871,59647492,9.09855706569798,9.72465855521586,20.3134405930698,-0.979339906561634,30.6064915557231,22.5131568334091,479814189.252795,39670879,16.1945690035763,75.8707317073171,1.28,2071323790370.28,81156363,25522.6295733618,-1.62815805671195,2074905674671.71,9134198851.24925,6223589,35547425
"538804",1994,5373.2998046875,32465300,79.6,73.1,1354600,47.8800010681152,70.1060028076172,8.72799968719482,100,233.274177193435,0.346856648630233,3473705,7391398,73.71,26.29,357000,0.975540433439917,21410142,60028206,9.07606573748279,10.0699667170724,21.1107102839496,2.398049086341,30.1969883304638,22.7480572016346,7517248751.11651,39928216,16.2316717503411,76.2707317073171,1.24,2205074123177.05,81438348,27076.60675014,2.04348990653529,2204518754851.15,9476794601.28514,6235406,36328713
"554649",1995,5835.8999023438,34680100,79.7,73.3,1267900,47.8370018005371,69.4260025024414,8.15799999237061,100,233.967490690347,0.293904443716697,3471395,7383559,73.922,26.078,357020,0.995455529106254,21300002,60378049,9.03983250041067,10.5068513196339,21.9942362808177,1.5347974754814,29.7680789186165,23.0380729054144,12041505212.6412,39801543,16.258892077573,76.4219512195122,1.25,2585792275146.72,81678051,31658.3493789135,1.23682029236684,2582251944861.47,9949095030.0346,6526733,39863871
"570494",1996,6036.2998046875,40118400,79.9,73.6,1266000,47.8409996032715,68.9219970703125,8.82499980926514,100,234.652470709559,0.289474899455448,3462965,7367007,74.133,25.867,357030,1.04216760869792,21188909,60725922,8.99349593970352,9.74964071211345,22.8600276884323,0.820953826499334,28.8559264695167,22.5215410316254,15591797828.854,39822242,16.1289068333173,76.6731707317073,1.3,2497244606186.64,81914831,30485.8665482279,0.529524482684437,2497603327268,10743196303.0574,6707371,42135618
"586339",1997,6183.8999023438,45804500,80.3,74,1049000,48.2960014343262,68.7910003662109,9.86299991607666,100,235.022979515829,0.146313281561803,3442267,7328811,74.342,25.658,357030,1.03138464676338,21048482,60986289,8.93378613807552,9.98561422620086,25.3602733090279,1.7836372384923,28.5781301787217,22.7856806678029,18638443893.681,40046710,16.0459682853839,77.0731707317073,1.35,2211989623279.95,82034771,26964.0494672673,1.63482315268979,2207765621475.3,10910402859.2185,7014075,45485681
"602184",1998,6233.7998046875,49279800,80.6,74.5,949200,48.5120010375977,68.5,9.78800010681152,100,235.078777720474,0.0151436508552808,3412301,7275566,74.551,25.449,357030,0.975317957526236,20880191,61167004,8.86753776286928,10.2758666311025,26.4069062062529,2.01904748909297,28.3844977710706,23.2260013729238,29526509277.4565,40077646,15.9707151139865,77.4756097560976,1.36,2238990774702.68,82047195,27289.0593603191,2.00359925047853,2226180949205.29,11273098559.7346,7041633,44574851
"618029",1999,6610.7001953125,54652800,80.8,74.8,975500,49.048999786377,68.2969970703125,8.85499954223633,100,235.257731102069,0.0646345779052372,3392756,7249421,74.758,25.242,357030,0.958397265329112,20723743,61376500,8.82996290278946,9.55885200480415,26.9592324276031,1.89195900764383,27.6544079087925,22.5629765964388,86035665071.2087,40291759,15.8528560911475,77.7268292682927,1.36,2194204133816.32,82100243,26725.9152182573,1.82612284877355,2179026209247.82,11325825947.0473,6634681,44452029
"633874",2000,7127.713,57962865,81,75,906000,49.0400009155273,67.7440032958984,7.91699981689453,100,235.596813297034,0.135431600393084,3384417,7259533,74.965,25.035,357030,0.994789221891906,20581651,61629857,8.83031241806196,9.22402162838931,30.8477115722895,2.89518694712132,27.712378324301,22.6653715263615,248007397121.858,40251178,15.6725549976228,77.9268292682927,1.38,1943145384190.16,82211508,23635.9292203977,2.75592866985347,1932214851667.59,12035390272.4596,7015690,45271234
