"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.NV.AGR.TOTL.ZS","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NV.IND.TOTL.ZS","value.DT.DOD.DSTC.IR.ZS","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491285",1991,493.1000061035,10717400,58.774,57.967,210569,30.2959995269775,84.5989990234375,5.44999980926514,299.770014361679,2.03972963544003,12708725,99549265,25.778,74.222,3287260,27.3332181443779,661520801,229752408,11.1693321413412,11.4521458866139,8.49424077053547,1.05683143294308,26.4417201769254,92.8310350181283,21.7599660966497,73537638.3885329,323815936,37.7655720604074,58.353,3.959,270105341879.226,891273209,303.055605342701,-0.98357458131818,265995400854.861,6166979540.20296,100243408,193101196
"507130",1992,429.3999938965,11127100,59.337,58.405,258372,30.3560009002686,84.5029983520508,5.50400018692017,305.835488482068,2.00317761842978,13051762,102588229,25.984,74.016,3287260,26.669771971317,673032681,236274335,11.2820232545088,12.9229638612045,8.84292692502088,5.48239602167047,26.7927432696344,66.4654808617525,23.2467998265247,276512438.973893,331386003,37.5427627845335,58.851,3.877,288208430383.964,909307016,316.953927895311,3.39041923244446,283799332762.87,6900434255.44134,99499504,201468404
"522975",1993,372.3999938965,9441600,59.9,58.843,262802,30.4659996032715,84.4199981689453,5.61199998855591,311.922164409271,1.97063455950575,13403076,105727302,26.191,73.809,3287260,26.881800844094,684507515,242896345,11.4003517302591,13.1899261430718,9.83421745486326,4.75077621965237,26.7815542820739,24.7093161398657,24.0830767113128,550370024.929383,339356492,37.2896901679922,59.349,3.799,279296022987.919,927403860,301.159004220577,2.70672773345568,275444510280.797,7531966273.73,100066500,208626900
"538820",1994,563.5999755859,11518400,60.454,59.277,258342,30.636999130249,84.3399963378906,5.63100004196167,318.042853298982,1.94324488641587,13764351,108983715,26.399,73.601,3287260,26.3886188842791,695972404,249629427,11.5253282541497,15.4463403438387,9.88808491615672,6.65892406734024,27.628201246504,17.6046100193443,25.951000892873,973271468.722874,347849532,36.9929303785369,59.84,3.723,327275583539.559,945601831,346.102950322606,4.60628844055002,323108717813.725,8372854826.85311,100184200,211941400
"554665",1995,653.9000244141,14260600,60.991,59.703,227481,30.6049995422363,84.1380004882813,5.63600015640259,324.204839919413,1.9189405494854,14135363,112357895,26.607,73.393,3287260,24.4568552670561,707451705,256470883,11.6563193350543,15.9748503899717,10.8439680348823,7.57449184032379,28.599809423728,22.0821350390418,26.9673908161413,2143628110.28392,355750638,36.6498039778273,60.32,3.651,360281952716.797,963922588,373.766480007829,5.52988146502977,356252331233.451,9344072509.80122,99450800,210012500
"570510",1996,565,13394600,61.503,60.121,233371,30.5629997253418,83.8960037231445,5.65199995040894,330.407825601458,1.89521886030615,14516908,115859638,26.817,73.183,3287260,25.4170307460273,718924356,263440887,11.7939471928161,15.6946779911587,10.3851692716063,7.5495222488198,27.9122703698412,27.0235905680178,27.0479336644212,2426057021.91092,363469074,36.326527383054,60.783,3.582,392897054348.071,982365243,399.950076763934,5.53041708566022,389212066967.505,10655160547.6968,100300000,218750900
"586355",1997,528,16039800,61.992,60.531,223072,30.5219993591309,83.6490020751953,5.63700008392334,336.641798875955,1.8691727113405,14907660,119479361,27.028,72.972,3287260,24.3453570949732,730376770,270523260,11.9371922688423,16.1926249308775,10.6907173181022,4.0498208490926,27.83703076259,17.7767613257158,27.5504324876357,3577330042.34586,371459178,35.9654314327476,61.233,3.514,415867753863.874,1000900030,415.493796981777,2.1230137664451,412314039081.443,11611485966.2495,100167200,223232400
"602200",1998,531.299987793,16521000,62.46,60.936,185516,30.4820003509521,83.4029998779297,5.63100004196167,342.892173389524,1.83965807334182,15309490,123237142,27.24,72.76,3287260,24.3788210472195,741776254,277707327,12.0881929142123,15.8002174688835,11.018469179248,6.18441582090618,27.3030378516024,14.1255641171885,25.8895037153077,2634651657.77141,379708697,35.5719678824332,61.669,3.446,421351477504.743,1019483581,413.298934242221,4.24884418092208,417792938008.473,12338741289.9161,100904200,226877000
"618045",1999,531.200012207,16005400,62.906,61.335,180031,30.4459991455078,83.1699981689453,5.68499994277954,349.139528923479,1.80556041999182,15722151,127133686,27.453,72.547,3287260,22.9889609802859,753080050,284978106,12.2472604511765,16.0349556439004,11.4520646128009,8.84575556105509,26.5192933488596,10.9233930698278,25.6375365050134,2168591054.37924,388180658,35.1560002578507,62.093,3.379,458820417337.807,1038058156,441.998759593395,6.89811550022166,455259488556.383,13712365782.5412,102091700,236205608
"633890",2000,547.652,17299483,63.334,61.729,170940,30.4130001068115,82.9560012817383,5.66300010681152,355.367651915956,1.76812541234731,16146527,131180551,27.667,72.333,3287260,21.6089574707079,764252792,292322757,12.4156338014973,15.552468650944,12.9972363111656,3.84099115681285,27.3258283772087,8.43175627310569,26.1190273150086,3584217307.18756,396836575,34.7258428748667,62.505,3.311,468394937262.37,1056575549,443.31419339174,2.02108869495849,463418960201.815,14962760986.3925,102402400,234931192
