"","year","value.IS.AIR.GOOD.MT.K1","value.IS.AIR.PSGR","value.SP.DYN.LE00.FE.IN","value.SP.DYN.LE00.MA.IN","value.SM.POP.REFG","value.SL.TLF.CACT.FE.ZS","value.SL.TLF.CACT.MA.ZS","value.SL.UEM.TOTL.ZS","value.EG.ELC.ACCS.ZS","value.EN.POP.DNST","value.SP.POP.GROW","value.EN.URB.LCTY","value.EN.URB.MCTY","value.SP.URB.TOTL.IN.ZS","value.SP.RUR.TOTL.ZS","value.AG.SRF.TOTL.K2","value.SP.RUR.TOTL","value.SP.URB.TOTL","value.EN.URB.MCTY.TL.ZS","value.NY.ADJ.SVNX.GN.ZS","value.NE.EXP.GNFS.ZS","value.NY.GDP.MKTP.KD.ZG","value.NY.GNS.ICTR.ZS","value.BX.KLT.DINV.CD.WD","value.SL.TLF.TOTL.IN","value.SP.POP.0014.TO.ZS","value.SP.DYN.LE00.IN","value.SP.DYN.TFRT.IN","value.NY.GDP.MKTP.CD","value.SP.POP.TOTL","value.NY.GDP.PCAP.CD","value.NY.GDP.PCAP.KD.ZG","value.NY.GNP.MKTP.CD","value.NY.ADJ.DCO2.CD","value.AG.LND.CREL.HA","value.AG.PRD.CREL.MT"
"491402",1991,14486.2001953125,452015904,78.9,72,513885,56.0429992675781,74.6729965209961,6.80000019073486,100,27.6211491261017,1.33626074073779,16253492,106882401,75.701,24.299,9629090,61471853,191509147,42.2491811638028,6.87168039492493,9.66090512231881,-0.108259105278663,18.8100151848069,3.455e+10,128716397,21.8002814260128,75.3658536585366,2.0625,6.158129e+12,252981000,24342.2589048189,-1.43419451514927,6.09675e+12,45169440199.3682,62131075,280063391
"507247",1992,15617.599609375,466964992,79.1,72.3,579938,56.4749984741211,74.7590026855469,7.5,100,28.0068916121481,1.38688569247935,16423372,108589444,76.097,23.903,9629090,61314541,195199459,42.3327553271946,7.0467094769462,9.70891490564814,3.52244249386644,17.6815219543437,3.031e+10,130869552,21.910086653632,75.6170731707317,2.046,6.520327e+12,256514000,25418.9907763319,2.09661470539942,6.435469e+12,48460164807.6436,65890404,353025147
"523092",1993,16343,469926112,78.8,72.2,623056,56.5800018310547,74.4240036010742,6.90000009536743,100,28.3786587123429,1.31867999977741,16594553,110331233,76.488,23.512,9629090,61112155,198806845,42.4483138977912,6.19015674437024,9.54718039168286,2.75284432688012,17.0434226781457,5.023e+10,132265527,21.9892262356465,75.419512195122,2.0195,6.858559e+12,259919000,26387.2937338171,1.40675791175455,6.733768e+12,52336544352.2133,60273827,259105342
"538937",1994,19083.80078125,514924000,79,72.4,631046,57.6189994812012,74.2350006103516,6.11899995803833,100,28.7288076375484,1.2262960888682,16767758,112116197,76.875,23.125,9629090,60847887,202278113,42.6093191094761,7.52532691735348,9.89314741556332,4.0288390635428,17.8520305915713,5.594e+10,134761841,22.0247443502355,75.619512195122,2.0015,7.287236e+12,263126000,27694.853416234,2.7609275425347,7.170251e+12,55776862236.3717,64017419,355934924
"554782",1995,19622.900390625,533512096,78.9,72.5,623279,57.8580017089844,74.2679977416992,5.65000009536743,100,29.0729515141457,1.19078709090209,16942770,113943290,77.257,22.743,9629090,60559606,205718394,42.7911017808456,7.68284061209656,10.639223880261,2.68428713241977,18.7477978661341,6.908e+10,136693852,22.0152634365607,75.6219512195122,1.978,7.639749e+12,266278000,28690.8757013347,1.46878726746138,7.574691e+12,59098836212.2737,59766550,277601210
"570627",1996,21676.400390625,571072000,79.1,73.1,607005,58.1619987487793,74.2939987182617,5.45100021362305,100,29.4131648134723,1.16341161998189,17119854,115816534,77.636,22.364,9629090,60247274,209146726,42.9915046363319,8.53273793255322,10.7466355642836,3.77250131926519,19.6380792957173,9.766e+10,138602157,22.0472291496015,76.0268292682927,1.976,8.073122e+12,269394000,29967.7127181749,2.57219576639159,8.045907e+12,63425776215.1779,64881026,335780123
"586472",1997,25478.80078125,590571392,79.4,73.6,563813,58.7109985351563,74.3720016479492,5,100,29.7694279699879,1.20396029701272,17298295,117729566,78.008,21.992,9629090,59962727,212694273,43.1786332278284,9.96318227792038,11.119754518777,4.44721634273408,20.8321463618552,1.2215e+11,141048402,22.0060093782191,76.4292682926829,1.971,8577554463000,272657000,31459.139002483,3.19725295677171,8.589268e+12,67930452405.423,63803406,336582161
"602317",1998,25757.900390625,588170880,79.5,73.8,533951,58.7449989318848,74.2649993896484,4.51000022888184,100,30.1184850681737,1.16571452642589,17478845,119691727,78.377,21.623,9629090,59647910,216206090,43.3895201809653,10.1395824664747,10.5152611231164,4.48140755451207,21.3776868838487,2.1115e+11,142801308,21.9165411215449,76.5804878048781,1.999,9062818211000,275854000,32853.6769849268,3.2705240438442,9.135464e+12,71181503054.8646,61556513,349425744
"618162",1999,27292.19921875,634364608,79.4,73.9,521134,58.9140014648438,74.2030029296875,4.2189998626709,100,30.4663411566379,1.14834004729055,17661279,121701995,78.742,21.258,9629090,59318323,219721677,43.6145337586009,9.55352041738584,10.3085101834807,4.75323598879717,20.9488562541826,3.12449e+11,144779757,21.8117417042619,76.5829268292683,2.0075,9630664202000,279040000,34513.5615037271,3.55719309222211,9.689354e+12,75802950615.3848,58461970,335364364
"634007",2000,30171.975,665327414,79.3,74.1,508209,59.0209999084473,74.1969985961914,3.99200010299683,100,30.7973013298523,1.11276899679534,17813371,123562801,79.057,20.943,9632030,59093274,223069137,43.7913755280465,9.09867589340986,10.6927239610622,4.12748401355853,20.8217525199071,3.49125e+11,146729576,21.702880167839,76.6365853658537,2.056,10252345464000,282162411,36334.9087770589,2.97520862601139,1.0383859e+13,82563318586.9879,58526104,342631506
