"","ï..Series.Name","Series.Code"
"1","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1"
"265","Air transport, passengers carried","IS.AIR.PSGR"
"529","Rail lines (total route-km)","IS.RRS.TOTL.KM"
"793","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6"
"1057","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM"
"1321","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS"
"1585","Scientific and technical journal articles","IP.JRN.ARTC.SC"
"1849","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN"
"2113","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN"
"2377","Refugee population by country or territory of asylum","SM.POP.REFG"
"2641","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.FE.ZS"
"2905","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","SL.TLF.CACT.MA.ZS"
"3169","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS"
"3433","Access to electricity (% of population)","EG.ELC.ACCS.ZS"
"3697","Population density (people per sq. km of land area)","EN.POP.DNST"
"3961","Population growth (annual %)","SP.POP.GROW"
"4225","Population in largest city","EN.URB.LCTY"
"4489","Population in urban agglomerations of more than 1 million","EN.URB.MCTY"
"4753","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS"
"5017","Forest area (% of land area)","AG.LND.FRST.ZS"
"5281","Urban population (% of total population)","SP.URB.TOTL.IN.ZS"
"5545","Rural population (% of total population)","SP.RUR.TOTL.ZS"
"5809","Surface area (sq. km)","AG.SRF.TOTL.K2"
"6073","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD"
"6337","Agriculture, forestry, and fishing, value added (% of GDP)","NV.AGR.TOTL.ZS"
"6601","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD"
"6865","Livestock production index (2004-2006 = 100)","AG.PRD.LVSK.XD"
"7129","Rural population","SP.RUR.TOTL"
"7393","Urban population","SP.URB.TOTL"
"7657","Agricultural land (% of land area)","AG.LND.AGRI.ZS"
"7921","Arable land (% of land area)","AG.LND.ARBL.ZS"
"8185","Arable land (hectares per person)","AG.LND.ARBL.HA.PC"
"8449","CO2 emissions (kt)","EN.ATM.CO2E.KT"
